[05/11/2023-01:43:15]	[PLACED]	[05/11/2023-01:43:15]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7140.168457, 38.203232, 2260.750000>, Target: BBP_SGate_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-01:43:15]	[ARMED]		[05/11/2023-01:43:15]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7140.168457, 38.203232, 2260.750000>, Target: BBP_SGate_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-01:46:16]	[EXPLODED]	[05/11/2023-01:46:16]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7141.135742, 39.164692, 2261.278564>, Target: BBP_SGate_T3, Damage done: 2 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-01:47:46]	[PLACED]	[05/11/2023-01:47:46]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7140.136719, 38.203148, 2260.643311>, Target: BBP_SGate_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-01:47:46]	[ARMED]		[05/11/2023-01:47:46]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7140.136719, 38.203148, 2260.643311>, Target: BBP_SGate_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-01:50:47]	[EXPLODED]	[05/11/2023-01:50:47]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7141.142090, 39.137505, 2261.419678>, Target: BBP_SGate_T3, Damage done: 2 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-01:52:20]	[PLACED]	[05/11/2023-01:52:20]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7140.036621, 38.042732, 2261.004395>, Target: BBP_SGate_T3 | Player: warpig21 [76561199176008890]
[05/11/2023-01:52:20]	[ARMED]		[05/11/2023-01:52:20]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7140.036621, 38.042732, 2261.004395>, Target: BBP_SGate_T3 | Player: warpig21 [76561199176008890]
[05/11/2023-01:55:20]	[EXPLODED]	[05/11/2023-01:55:20]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7141.141602, 39.205921, 2261.410889>, Target: BBP_SGate_T3, Damage done: 2 | Player: CAN'T GET PLAYER NAME [CAN'T GET PLAYER STEAM64]
[05/11/2023-01:55:20]	[DESTROYED]	[05/11/2023-01:55:20]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <7141.141602, 39.205921, 2261.410889>, Target: BBP_SGate_T3 | Player: CAN'T GET PLAYER NAME [CAN'T GET PLAYER STEAM64]
[05/11/2023-02:00:40]	[PLACED]	[05/11/2023-02:00:40]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7145.014648, 40.579689, 2259.898438>, Target: BBP_SDoor_T3_Door_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:00:40]	[ARMED]		[05/11/2023-02:00:40]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7145.014648, 40.579689, 2259.898438>, Target: BBP_SDoor_T3_Door_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:03:40]	[EXPLODED]	[05/11/2023-02:03:40]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7146.051758, 42.315750, 2260.432129>, Target: BBP_SDoor_T3_Door_T3, Damage done: 2 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:05:02]	[PLACED]	[05/11/2023-02:05:02]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7145.055176, 40.587585, 2259.473633>, Target: BBP_SDoor_T3_Door_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:05:02]	[ARMED]		[05/11/2023-02:05:02]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7145.055176, 40.587585, 2259.473633>, Target: BBP_SDoor_T3_Door_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:08:02]	[EXPLODED]	[05/11/2023-02:08:02]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7145.970215, 42.297920, 2260.110352>, Target: BBP_SDoor_T3_Door_T3, Damage done: 2 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:09:33]	[PLACED]	[05/11/2023-02:09:33]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7145.013672, 40.584427, 2259.463867>, Target: BBP_SDoor_T3_Door_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:09:33]	[ARMED]		[05/11/2023-02:09:33]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7145.013672, 40.584427, 2259.463867>, Target: BBP_SDoor_T3_Door_T3 | Player: Texaslife1776 [76561199474629754]
[05/11/2023-02:12:34]	[EXPLODED]	[05/11/2023-02:12:34]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7146.032715, 42.394989, 2259.996338>, Target: BBP_SDoor_T3_Door_T3, Damage done: 2 | Player: Texaslife1776 [76561199474629754]
