[05/11/2023-08:31:26]	[PLACED]	[05/11/2023-08:31:26]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7187.539063, 3.622516, 1260.675293>, Target: BBP_SGate_T2 | Player: sable [76561199047402821]
[05/11/2023-08:31:26]	[ARMED]		[05/11/2023-08:31:26]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7187.539063, 3.622516, 1260.675293>, Target: BBP_SGate_T2 | Player: sable [76561199047402821]
[05/11/2023-08:31:27]	[PLACED]	[05/11/2023-08:31:27]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7188.484375, 3.622555, 1262.364014>, Target: BBP_SGate_T2 | Player: Biggie [76561199123314833]
[05/11/2023-08:31:27]	[ARMED]		[05/11/2023-08:31:27]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7188.484375, 3.622555, 1262.364014>, Target: BBP_SGate_T2 | Player: Biggie [76561199123314833]
[05/11/2023-08:34:26]	[EXPLODED]	[05/11/2023-08:34:26]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7188.873047, 4.263974, 1260.509399>, Target: BBP_SGate_T2, Damage done: 2 | Player: sable [76561199047402821]
[05/11/2023-08:34:26]	[DESTROYED]	[05/11/2023-08:34:26]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <7188.873047, 4.263974, 1260.509399>, Target: BBP_SGate_T2 | Player: sable [76561199047402821]
[05/11/2023-08:34:28]	[EXPLODED]	[05/11/2023-08:34:28]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7189.823242, 4.134593, 1261.344116>, Target: BBP_SGate_T2, Damage done: 2 | Player: Biggie [76561199123314833]
[05/11/2023-08:34:28]	[DESTROYED]	[05/11/2023-08:34:28]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <7189.823242, 4.134593, 1261.344116>, Target: BBP_SGate_T2 | Player: Biggie [76561199123314833]
[05/11/2023-09:33:45]	[PLACED]	[05/11/2023-09:33:45]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <7160.176758, 10.802937, 1225.253296>, Target: BBP_BDoor_T1_Door_T1 | Player: Biggie [76561199123314833]
[05/11/2023-09:33:45]	[ARMED]		[05/11/2023-09:33:45]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <7160.176758, 10.802937, 1225.253296>, Target: BBP_BDoor_T1_Door_T1 | Player: Biggie [76561199123314833]
[05/11/2023-09:34:05]	[EXPLODED]	[05/11/2023-09:34:05]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <7159.947266, 11.272730, 1223.655518>, Target: BBP_BDoor_T1_Door_T1, Damage done: 1 | Player: Biggie [76561199123314833]
[05/11/2023-09:34:05]	[DESTROYED]	[05/11/2023-09:34:05]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <7159.947266, 11.272730, 1223.655518>, Target: BBP_BDoor_T1_Door_T1 | Player: Biggie [76561199123314833]
[05/11/2023-09:36:23]	[PLACED]	[05/11/2023-09:36:23]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <7161.195801, 10.768070, 1219.810425>, Target: BBP_LHanger_Roof_T1 | Player: Biggie [76561199123314833]
[05/11/2023-09:36:23]	[ARMED]		[05/11/2023-09:36:23]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <7161.195801, 10.768070, 1219.810425>, Target: BBP_LHanger_Roof_T1 | Player: Biggie [76561199123314833]
[05/11/2023-09:39:24]	[EXPLODED]	[05/11/2023-09:39:24]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <7160.894531, 10.086624, 1218.476563>, Target: BBP_LHanger_Roof_T1, Damage done: 2 | Player: Biggie [76561199123314833]
[05/11/2023-09:39:24]	[DESTROYED]	[05/11/2023-09:39:24]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <7160.894531, 10.086624, 1218.476563>, Target: BBP_LHanger_Roof_T1 | Player: Biggie [76561199123314833]
