11-14 20:26:07 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Initialisation
11-14 20:26:07 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Creating Containers: 4
11-14 20:26:07 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <1150.067017, -32.961678, 14017.041992>
11-14 20:26:07 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <2247.318359, -34.582836, 14611.929688>
11-14 20:26:07 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <11080.357422, 9.150000, 2281.134766>
11-14 20:26:07 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <13890.471680, -35.429993, 9326.860352>
11-14 20:28:49 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.4702) 0 -> 0
11-14 20:29:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (17.567) overcast: 0.124008
11-14 20:29:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (17.567) 0
11-14 20:31:48 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.7697) 0 -> 0
11-14 20:32:27 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (17.834) 0
11-14 20:34:48 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.0692) 0 -> 0
11-14 20:37:48 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.3687) 0 -> 0
11-14 20:40:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.6682) 0 -> 0
11-14 20:43:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (19.4331) 0 -> 0
11-14 20:46:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (20.6311) 0 -> 0
